case,origin,dest,demand,y,flow
   63, 2,  4,225.0000, 49.4858,225.0000
   64, 1,  4,300.0000, 40.1667,300.0000
   64, 2,  4,225.0000, 49.4740,225.0000
   65, 1,  4,300.0000, 40.1667,300.0000
   65, 2,  4,225.0000, 49.4623,225.0000
   66, 1,  4,300.0000, 40.1667,300.0000
   66, 2,  4,225.0000, 49.4506,225.0000
   67, 1,  4,300.0000, 40.1667,300.0000
   67, 2,  4,225.0000, 49.4390,225.0000
   68, 1,  4,300.0000, 40.1667,300.0000
   68, 2,  4,225.0000, 49.4274,225.0000
   69, 1,  4,300.0000, 40.1667,300.0000
   69, 2,  4,225.0000, 49.4159,225.0000
   70, 1,  4,300.0000, 40.1667,300.0000
   70, 2,  4,225.0000, 49.4044,225.0000
   71, 1,  4,300.0000, 40.1667,300.0000
   71, 2,  4,225.0000, 49.3930,225.0000
   72, 1,  4,300.0000, 40.1667,300.0000
   72, 2,  4,225.0000, 49.3816,225.0000
   73, 1,  4,300.0000, 40.1667,300.0000
   73, 2,  4,225.0000, 49.3703,225.0000
   74, 1,  4,300.0000, 40.1667,300.0000
   74, 2,  4,225.0000, 49.3590,225.0000
   75, 1,  4,300.0000, 40.1667,300.0000
   75, 2,  4,225.0000, 49.3477,224.9008
   76, 1,  4,300.0000, 40.1667,300.0000
   76, 2,  4,225.0000, 49.3366,225.0000
   77, 1,  4,300.0000, 40.1667,300.0000
   77, 2,  4,225.0000, 49.3254,225.0000
   78, 1,  4,300.0000, 40.1667,300.0000
   78, 2,  4,225.0000, 49.3143,225.0000
   79, 1,  4,300.0000, 40.1667,300.0000
   79, 2,  4,225.0000, 49.3033,225.0000
   80, 1,  4,300.0000, 40.1667,300.0000
   80, 2,  4,225.0000, 49.2923,225.0000
   81, 1,  4,300.0000, 40.1667,300.0000
   81, 2,  4,225.0000, 49.2813,225.0000
   82, 1,  4,300.0000, 40.1667,300.0000
   82, 2,  4,225.0000, 49.2704,224.9495
   83, 1,  4,300.0000, 40.1667,300.0000
