method,case,dest,link,flow,fx,lt,xprob,logitprob,tail,head
dp   ,    0, 1,  1,      0.00,1000.00, 36.30,0.0000,0.0000,  1,  2
dp   ,    0, 1,  2,      0.00,  58.12, 42.60,0.0000,0.0000,  1,  3
dp   ,    0, 1,  3,    300.00,  40.17, 40.17,1.0000,0.0000,  1,  4
dp   ,    0, 1,  4,    155.35,  50.35, 34.83,0.6905,0.0000,  2,  3
dp   ,    0, 1,  5,     69.65,  50.36, 50.36,0.3095,0.0000,  2,  4
dp   ,    0, 1,  6,    155.35,  15.52, 15.52,1.0000,0.0000,  3,  4
dp   ,    1, 1,  1,      0.00,1000.00, 36.15,0.0000,0.0000,  1,  2
dp   ,    1, 1,  2,      0.00,  57.97, 42.45,0.0000,0.0000,  1,  3
dp   ,    1, 1,  3,    300.00,  40.17, 40.17,1.0000,0.0000,  1,  4
dp   ,    1, 1,  4,    156.73,  50.33, 34.81,0.6966,0.0000,  2,  3
dp   ,    1, 1,  5,     68.27,  50.34, 50.34,0.3034,0.0000,  2,  4
dp   ,    1, 1,  6,    156.73,  15.52, 15.52,1.0000,0.0000,  3,  4
dp   ,    2, 1,  1,      0.00,1000.00, 36.00,0.0000,0.0000,  1,  2
dp   ,    2, 1,  2,      0.00,  57.82, 42.30,0.0000,0.0000,  1,  3
dp   ,    2, 1,  3,    300.00,  40.17, 40.17,1.0000,0.0000,  1,  4
dp   ,    2, 1,  4,    158.24,  50.31, 34.79,0.7033,0.0000,  2,  3
dp   ,    2, 1,  5,     66.76,  50.32, 50.32,0.2967,0.0000,  2,  4
dp   ,    2, 1,  6,    158.24,  15.52, 15.52,1.0000,0.0000,  3,  4
dp   ,    3, 1,  1,      0.00,1000.00, 35.86,0.0000,0.0000,  1,  2
dp   ,    3, 1,  2,      0.00,  57.68, 42.16,0.0000,0.0000,  1,  3
dp   ,    3, 1,  3,    300.00,  40.17, 40.17,1.0000,0.0000,  1,  4
dp   ,    3, 1,  4,    159.74,  50.30, 34.78,0.7099,0.0000,  2,  3
dp   ,    3, 1,  5,     65.26,  50.31, 50.31,0.2901,0.0000,  2,  4
dp   ,    3, 1,  6,    159.74,  15.52, 15.52,1.0000,0.0000,  3,  4
dp   ,    4, 1,  1,      0.00,1000.00, 35.71,0.0000,0.0000,  1,  2
dp   ,    4, 1,  2,      0.00,  57.53, 42.01,0.0000,0.0000,  1,  3
dp   ,    4, 1,  3,    300.00,  40.17, 40.17,1.0000,0.0000,  1,  4
dp   ,    4, 1,  4,    161.22,  50.28, 34.76,0.7165,0.0000,  2,  3
dp   ,    4, 1,  5,     63.78,  50.29, 50.29,0.2835,0.0000,  2,  4
dp   ,    4, 1,  6,    161.22,  15.52, 15.52,1.0000,0.0000,  3,  4
