id,tc,fair
0,7561.0075,-1.6916999999999973
1,7560.055,-1.678999999999995
2,7559.11,-1.6663999999999959
3,7558.172500000001,-1.6539000000000001
4,7557.235000000001,-1.6413999999999973
5,7556.305,-1.6289999999999978
6,7555.3825,-1.6166999999999945
7,7554.46,-1.6043999999999983
8,7553.545,-1.5921999999999983
9,7552.63,-1.5799999999999983
10,7551.7225,-1.5678999999999945
11,7550.8225,-1.555899999999994
12,7549.922500000001,-1.5439000000000007
13,7549.0225,-1.5319000000000003
14,7548.137500000001,-1.5200999999999993
15,7547.2525000000005,-1.5082999999999984
16,7546.3675,-1.4964999999999975
17,7545.49,-1.4848
18,7544.612499999999,-1.4730999999999952
19,7543.75,-1.4615999999999971
20,7542.879999999999,-1.4499999999999957
21,7542.0175,-1.4384999999999977
22,7541.1625,-1.4270999999999958
23,7540.3075,-1.415699999999994
24,7539.459999999999,-1.4043999999999954
25,7538.620000000001,-1.3932000000000002
26,7537.772499999999,-1.3818999999999946
27,7536.94,-1.3707999999999956
28,7536.1075,-1.3596999999999966
29,7535.275,-1.3485999999999976
30,7534.45,-1.3375999999999948
31,7533.6325,-1.3266999999999953
32,7532.8150000000005,-1.3157999999999959
33,7531.9974999999995,-1.3048999999999964
34,7531.1875,-1.2941000000000003
35,7530.385,-1.2834000000000003
36,7529.575,-1.272599999999997
37,7528.780000000001,-1.2620000000000005
38,7527.985000000001,-1.2513999999999967
39,7527.1900000000005,-1.2408000000000001
40,7526.4025,-1.2302999999999997
41,7525.6224999999995,-1.2198999999999955
42,7524.834999999999,-1.2093999999999951
43,7524.0625,-1.1990999999999943
44,7523.290000000001,-1.1888000000000005
45,7522.5175,-1.1784999999999997
46,7521.7525,-1.168299999999995
47,7520.9875,-1.1580999999999975
48,7520.2225,-1.1479
49,7519.465,-1.1377999999999986
50,7518.715,-1.1278000000000006
51,7517.965,-1.1177999999999955
52,7517.215,-1.1077999999999975
53,7516.4725,-1.0978999999999957
54,7515.737499999999,-1.0880999999999972
55,7514.995,-1.0781999999999954
56,7514.26,-1.068399999999997
57,7513.532499999999,-1.0586999999999946
58,7512.805,-1.0489999999999995
59,7512.077499999999,-1.0392999999999972
60,7511.3575,-1.0296999999999983
61,7510.645,-1.0201999999999956
62,7509.924999999999,-1.0105999999999966
63,7509.2125,-1.0010999999999939
64,7508.5075,-0.9916999999999945
65,7507.8025,-0.9822999999999951
66,7507.0975,-0.9728999999999957
67,7506.4,-0.9635999999999996
68,7505.702499999999,-0.9542999999999964
69,7505.005,-0.9450000000000003
70,7504.3150000000005,-0.9358000000000004
71,7503.6325,-0.9266999999999967
72,7502.9425,-0.9174999999999969
73,7502.26,-0.9084000000000003
74,7501.585,-0.8994
75,7500.91,-0.8903999999999996
76,7500.235000000001,-0.8813999999999993
77,7499.567499999999,-0.8724999999999952
78,7498.8925,-0.8634999999999948
79,7498.2325,-0.854699999999994
80,7497.5725,-0.8459000000000003
81,7496.9125,-0.8370999999999995
82,7496.2525000000005,-0.8282999999999987
83,7495.6,-0.8195999999999941
84,7494.9475,-0.8108999999999966
85,7494.3025,-0.8022999999999954
86,7493.65,-0.7935999999999979
87,7493.012500000001,-0.7850999999999999
88,7492.3675,-0.7764999999999986
89,7491.73,-0.7680000000000007
90,7491.0925,-0.7594999999999956
91,7490.4625,-0.7510999999999939
92,7489.8325,-0.7426999999999992
93,7489.202499999999,-0.7342999999999975
94,7488.58,-0.7259999999999991
95,7487.9575,-0.7177000000000007
96,7487.334999999999,-0.7093999999999951
97,7486.72,-0.7012
98,7486.105,-0.6929999999999978
99,7485.49,-0.6847999999999956
100,7484.8825,-0.6766999999999967
101,7484.275,-0.6685999999999979
102,7483.6675,-0.660499999999999
103,7483.067499999999,-0.6524999999999963
104,7482.467500000001,-0.6445000000000007
105,7481.8675,-0.6364999999999981
106,7481.2675,-0.6284999999999954
107,7480.674999999999,-0.620599999999996
108,7480.0825,-0.6126999999999967
109,7479.4975,-0.6049000000000007
110,7478.9125,-0.5970999999999975
111,7478.327499999999,-0.5892999999999944
112,7477.7425,-0.5814999999999984
113,7477.165,-0.5737999999999985
114,7476.5875,-0.5660999999999987
115,7476.01,-0.5583999999999989
116,7475.44,-0.5507999999999953
117,7474.87,-0.5431999999999988
118,7474.299999999999,-0.5355999999999952
119,7473.737499999999,-0.5280999999999949
120,7473.1675,-0.5204999999999984
121,7472.605,-0.5129999999999981
122,7472.049999999999,-0.505599999999994
123,7471.487499999999,-0.49809999999999377
124,7470.9325,-0.4906999999999968
125,7470.385,-0.48339999999999606
126,7469.83,-0.4759999999999991
127,7469.282499999999,-0.46869999999999834
128,7468.735000000001,-0.4613999999999976
129,7468.1875,-0.45409999999999684
130,7467.6475,-0.4468999999999994
131,7467.1075,-0.4396999999999949
132,7466.5675,-0.43249999999999744
133,7466.0275,-0.4253
134,7465.495,-0.4181999999999988
135,7464.9625,-0.4110999999999976
136,7464.43,-0.40399999999999636
137,7463.897499999999,-0.39689999999999515
138,7463.3724999999995,-0.38989999999999725
139,7462.8475,-0.38289999999999935
140,7462.3225,-0.37589999999999435
141,7461.805,-0.3689999999999998
142,7461.2875,-0.3620999999999981
143,7460.77,-0.3551999999999964
144,7460.2525,-0.3482999999999947
145,7459.7425,-0.34149999999999636
146,7459.225,-0.3345999999999947
147,7458.715,-0.3277999999999963
148,7458.2125,-0.32109999999999417
149,7457.702499999999,-0.3142999999999958
150,7457.200000000001,-0.30760000000000076
151,7456.6975,-0.3008999999999986
152,7456.195,-0.29419999999999646
153,7455.7,-0.28759999999999764
154,7455.1975,-0.2808999999999955
155,7454.702499999999,-0.27429999999999666
156,7454.215,-0.26779999999999404
157,7453.719999999999,-0.2611999999999952
158,7453.2325,-0.2546999999999997
159,7452.745,-0.2481999999999971
160,7452.2575,-0.24169999999999447
161,7451.77,-0.23519999999999897
162,7451.29,-0.22879999999999967
163,7450.81,-0.22240000000000038
164,7450.33,-0.21599999999999397
165,7449.85,-0.20959999999999468
166,7449.3775000000005,-0.2032999999999987
167,7448.8975,-0.1968999999999994
168,7448.424999999999,-0.19059999999999633
169,7447.9525,-0.18430000000000035
170,7447.4875,-0.1781000000000006
171,7447.022499999999,-0.17189999999999372
172,7446.55,-0.16559999999999775
173,7446.085,-0.159399999999998
174,7445.6275,-0.15329999999999444
175,7445.1625,-0.14709999999999468
176,7444.705,-0.14099999999999824
177,7444.2474999999995,-0.1348999999999947
178,7443.79,-0.12879999999999825
179,7443.3325,-0.1226999999999947
180,7442.8825,-0.11669999999999447
181,7442.4325,-0.11069999999999425
182,7441.9825,-0.10469999999999402
183,7441.532499999999,-0.09869999999999379
184,7441.0825,-0.09270000000000067
185,7440.639999999999,-0.08679999999999666
186,7440.1900000000005,-0.08079999999999643
187,7439.7474999999995,-0.07489999999999952
188,7439.3125,-0.06909999999999883
189,7438.87,-0.06319999999999482
190,7438.4349999999995,-0.05739999999999412
191,7437.9925,-0.051499999999997215
192,7437.5575,-0.04569999999999652
193,7437.13,-0.03999999999999915
194,7436.695,-0.034199999999998454
195,7436.2675,-0.028499999999993975
196,7435.8325,-0.022700000000000387
197,7435.405,-0.016999999999995907
198,7434.9775,-0.011299999999998533
199,7434.5575,-0.005699999999997374
200,7434.13,0
201,7433.71,0.0
202,7433.29,0.0
203,7432.87,0.0
204,7432.45,0.0
205,7432.0375,0.0
206,7431.6175,0.0
207,7431.205,0.0
208,7430.7925,0.0
209,7430.379999999999,0.0
210,7429.975,0.0
211,7429.5625,0.0
212,7429.157499999999,0.0
213,7428.7525000000005,0.0
214,7428.3475,0.0
215,7427.9425,0.0
216,7427.5375,0.0
217,7427.139999999999,0.0
218,7426.7425,0.0
219,7426.345,0.0
220,7425.9475,0.0
221,7425.549999999999,0.0
222,7425.16,0.0
223,7424.7625,0.0
224,7424.3724999999995,0.0
225,7423.9825,0.0
226,7423.5925,0.0
227,7423.202499999999,0.0
228,7422.82,0.0
229,7422.43,0.0
230,7422.0475,0.0
231,7421.665,0.0
232,7421.282499999999,0.0
233,7420.9,0.0
234,7420.525,0.0
235,7420.1425,0.0
236,7419.7675,0.0
237,7419.3925,0.0
238,7419.0175,0.0
239,7418.6425,0.0
240,7418.275,0.0
241,7417.9,0.0
242,7417.5325,0.0
243,7417.164999999999,0.0
244,7416.7975,0.0
245,7416.43,0.0
246,7416.0625,0.0
247,7415.695,0.0
248,7415.334999999999,0.0
249,7414.975,0.0
250,7414.615,0.0
251,7414.255,0.0
252,7413.895,0.0
253,7413.535,0.0
254,7413.182500000001,0.0
255,7412.8225,0.0
256,7412.469999999999,0.0
257,7412.1175,0.0
258,7411.764999999999,0.0
259,7411.4125,0.0
260,7411.0599999999995,0.0
261,7410.715,0.0
262,7410.37,0.0
263,7410.0175,0.0
264,7409.6725,0.0
265,7409.3275,0.0
266,7408.9825,0.0
267,7408.645,0.0
268,7408.3,0.0
269,7407.9625,0.0
270,7407.6175,0.0
271,7407.28,0.0
272,7406.942499999999,0.0
273,7406.605,0.0
274,7406.275,0.0
275,7405.9375,0.0
276,7405.6,0.0
277,7405.2699999999995,0.0
278,7404.9400000000005,0.0
279,7404.610000000001,0.0
280,7404.28,0.0
281,7403.950000000001,0.0
282,7403.62,0.0
283,7403.2975,0.0
284,7402.967500000001,0.0
285,7402.645,0.0
286,7402.3225,0.0
287,7402.0,0.0
288,7401.6775,0.0
289,7401.355,0.0
290,7401.032499999999,0.0
291,7400.7175,0.0
292,7400.395,0.0
293,7400.08,0.0
294,7399.764999999999,0.0
295,7399.442499999999,0.0
296,7399.135,0.0
297,7398.82,0.0
298,7398.505,0.0
299,7398.19,0.0
300,7397.8825,0.0
301,7397.567499999999,0.0
302,7397.26,0.0
303,7396.9525,0.0
304,7396.645,0.0
305,7396.3375,0.0
306,7396.03,0.0
307,7395.73,0.0
308,7395.422500000001,0.0
309,7395.1225,0.0
310,7394.8150000000005,0.0
311,7394.514999999999,0.0
312,7394.215,0.0
313,7393.915,0.0
314,7393.615,0.0
315,7393.3150000000005,0.0
316,7393.022499999999,0.0
317,7392.7225,0.0
318,7392.43,0.0
319,7392.1375,0.0
320,7391.8375,0.0
321,7391.545,0.0
322,7391.2525000000005,0.0
323,7390.96,0.0
324,7390.675,0.0
325,7390.3825,0.0
326,7390.09,0.0
327,7389.805,0.0
328,7389.5125,0.0
329,7389.2275,0.0
330,7388.942499999999,0.0
331,7389.5475,-0.008600000000001273
332,7389.195,-0.00019999999999953388
333,7388.8525,0.008099999999998886
334,7388.51,0.016399999999997306
335,7388.16,0.024699999999995725
336,7387.950000000001,0.03219999999999601
337,7387.6025,0.040399999999998215
338,7387.2525000000005,0.048699999999996635
339,7386.895,0.056999999999995055
340,7386.547500000001,0.06519999999999726
341,7386.1925,0.07339999999999947
342,7385.834999999999,0.08169999999999789
343,7385.48,0.08990000000000009
344,7385.1275000000005,0.09799999999999898
345,7384.772499999999,0.10620000000000118
346,7384.42,0.11430000000000007
347,7384.057500000001,0.12249999999999517
348,7383.6975,0.13060000000000116
349,7383.3375,0.13870000000000005
350,7382.987500000001,0.1466999999999956
351,7382.6275,0.1548000000000016
