method,case,dest,link,flow,fx,lt,xprob,logitprob,tail,head
dp   ,   11, 1,  5,     12.20,  48.61, 48.61,0.1626,0.0000,  2,  4
dp   ,   11, 1,  6,     62.80,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   12, 1,  1,      0.00,1000.00, 34.60,0.0000,0.0000,  1,  2
dp   ,   12, 1,  2,      0.00,  56.07, 40.90,0.0000,0.0000,  1,  3
dp   ,   12, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   12, 1,  4,     64.06,  48.59, 33.43,0.8542,0.0000,  2,  3
dp   ,   12, 1,  5,     10.94,  48.60, 48.60,0.1458,0.0000,  2,  4
dp   ,   12, 1,  6,     64.06,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   13, 1,  1,      0.00,1000.00, 34.47,0.0000,0.0000,  1,  2
dp   ,   13, 1,  2,      0.00,  55.93, 40.77,0.0000,0.0000,  1,  3
dp   ,   13, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   13, 1,  4,     65.31,  48.58, 33.42,0.8708,0.0000,  2,  3
dp   ,   13, 1,  5,      9.69,  48.59, 48.59,0.1292,0.0000,  2,  4
dp   ,   13, 1,  6,     65.31,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   14, 1,  1,      0.00,1000.00, 34.34,0.0000,0.0000,  1,  2
dp   ,   14, 1,  2,      0.00,  55.80, 40.64,0.0000,0.0000,  1,  3
dp   ,   14, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   14, 1,  4,     66.54,  48.57, 33.40,0.8872,0.0000,  2,  3
dp   ,   14, 1,  5,      8.46,  48.58, 48.58,0.1128,0.0000,  2,  4
dp   ,   14, 1,  6,     66.54,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   15, 1,  1,      0.00,1000.00, 34.21,0.0000,0.0000,  1,  2
dp   ,   15, 1,  2,      0.00,  55.67, 40.51,0.0000,0.0000,  1,  3
dp   ,   15, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   15, 1,  4,     67.77,  48.56, 33.39,0.9036,0.0000,  2,  3
dp   ,   15, 1,  5,      7.23,  48.56, 48.56,0.0964,0.0000,  2,  4
dp   ,   15, 1,  6,     67.77,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,   16, 1,  1,      0.00,1000.00, 34.08,0.0000,0.0000,  1,  2
dp   ,   16, 1,  2,      0.00,  55.54, 40.38,0.0000,0.0000,  1,  3
dp   ,   16, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,   16, 1,  4,     68.98,  48.54, 33.38,0.9197,0.0000,  2,  3
dp   ,   16, 1,  5,      6.02,  48.55, 48.55,0.0803,0.0000,  2,  4
