method,case,dest,node,fout,lout,label
dp   ,   37, 1,  1,  1,  3, 44.82
dp   ,   37, 1,  2,  4,  5, 59.99
dp   ,   37, 1,  3,  6,  6, 16.58
dp   ,   38, 1,  1,  1,  3, 44.82
dp   ,   38, 1,  2,  4,  5, 59.93
dp   ,   38, 1,  3,  6,  6, 16.58
dp   ,   39, 1,  1,  1,  3, 44.82
dp   ,   39, 1,  2,  4,  5, 59.88
dp   ,   39, 1,  3,  6,  6, 16.58
dp   ,   40, 1,  1,  1,  3, 44.82
dp   ,   40, 1,  2,  4,  5, 59.82
dp   ,   40, 1,  3,  6,  6, 16.58
dp   ,   41, 1,  1,  1,  3, 44.82
dp   ,   41, 1,  2,  4,  5, 59.77
dp   ,   41, 1,  3,  6,  6, 16.58
dp   ,   42, 1,  1,  1,  3, 44.82
dp   ,   42, 1,  2,  4,  5, 59.71
dp   ,   42, 1,  3,  6,  6, 16.58
dp   ,   43, 1,  1,  1,  3, 44.82
dp   ,   43, 1,  2,  4,  5, 59.66
dp   ,   43, 1,  3,  6,  6, 16.58
dp   ,   44, 1,  1,  1,  3, 44.82
dp   ,   44, 1,  2,  4,  5, 59.61
dp   ,   44, 1,  3,  6,  6, 16.58
dp   ,   45, 1,  1,  1,  3, 44.82
dp   ,   45, 1,  2,  4,  5, 59.55
dp   ,   45, 1,  3,  6,  6, 16.58
dp   ,   46, 1,  1,  1,  3, 44.82
dp   ,   46, 1,  2,  4,  5, 59.50
dp   ,   46, 1,  3,  6,  6, 16.58
dp   ,   47, 1,  1,  1,  3, 44.82
dp   ,   47, 1,  2,  4,  5, 59.45
dp   ,   47, 1,  3,  6,  6, 16.58
dp   ,   48, 1,  1,  1,  3, 44.82
dp   ,   48, 1,  2,  4,  5, 59.40
dp   ,   48, 1,  3,  6,  6, 16.58
dp   ,   49, 1,  1,  1,  3, 44.82
dp   ,   49, 1,  2,  4,  5, 59.34
dp   ,   49, 1,  3,  6,  6, 16.58
dp   ,   50, 1,  1,  1,  3, 44.82
dp   ,   50, 1,  2,  4,  5, 59.29
dp   ,   50, 1,  3,  6,  6, 16.58
dp   ,   51, 1,  1,  1,  3, 44.82
dp   ,   51, 1,  2,  4,  5, 59.24
dp   ,   51, 1,  3,  6,  6, 16.58
dp   ,   52, 1,  1,  1,  3, 44.82
dp   ,   52, 1,  2,  4,  5, 59.19
dp   ,   52, 1,  3,  6,  6, 16.58
dp   ,   53, 1,  1,  1,  3, 44.82
dp   ,   53, 1,  2,  4,  5, 59.14
dp   ,   53, 1,  3,  6,  6, 16.58
dp   ,   54, 1,  1,  1,  3, 44.82
dp   ,   54, 1,  2,  4,  5, 59.09
dp   ,   54, 1,  3,  6,  6, 16.58
dp   ,   55, 1,  1,  1,  3, 44.82
dp   ,   55, 1,  2,  4,  5, 59.04
dp   ,   55, 1,  3,  6,  6, 16.58
dp   ,   56, 1,  1,  1,  3, 44.82
dp   ,   56, 1,  2,  4,  5, 58.99
dp   ,   56, 1,  3,  6,  6, 16.58
dp   ,   57, 1,  1,  1,  3, 44.82
dp   ,   57, 1,  2,  4,  5, 58.94
dp   ,   57, 1,  3,  6,  6, 16.58
dp   ,   58, 1,  1,  1,  3, 44.82
dp   ,   58, 1,  2,  4,  5, 58.89
dp   ,   58, 1,  3,  6,  6, 16.58
dp   ,   59, 1,  1,  1,  3, 44.82
dp   ,   59, 1,  2,  4,  5, 58.85
dp   ,   59, 1,  3,  6,  6, 16.58
dp   ,   60, 1,  1,  1,  3, 44.82
dp   ,   60, 1,  2,  4,  5, 58.80
dp   ,   60, 1,  3,  6,  6, 16.58
dp   ,   61, 1,  1,  1,  3, 44.82
dp   ,   61, 1,  2,  4,  5, 58.75
dp   ,   61, 1,  3,  6,  6, 16.58
dp   ,   62, 1,  1,  1,  3, 44.82
dp   ,   62, 1,  2,  4,  5, 58.70
dp   ,   62, 1,  3,  6,  6, 16.58
dp   ,   63, 1,  1,  1,  3, 44.82
dp   ,   63, 1,  2,  4,  5, 58.65
dp   ,   63, 1,  3,  6,  6, 16.58
dp   ,   64, 1,  1,  1,  3, 44.82
dp   ,   64, 1,  2,  4,  5, 58.61
dp   ,   64, 1,  3,  6,  6, 16.58
dp   ,   65, 1,  1,  1,  3, 44.82
dp   ,   65, 1,  2,  4,  5, 58.56
dp   ,   65, 1,  3,  6,  6, 16.58
dp   ,   66, 1,  1,  1,  3, 44.82
dp   ,   66, 1,  2,  4,  5, 58.51
dp   ,   66, 1,  3,  6,  6, 16.58
dp   ,   67, 1,  1,  1,  3, 44.82
dp   ,   67, 1,  2,  4,  5, 58.47
dp   ,   67, 1,  3,  6,  6, 16.58
dp   ,   68, 1,  1,  1,  3, 44.82
dp   ,   68, 1,  2,  4,  5, 58.42
dp   ,   68, 1,  3,  6,  6, 16.58
dp   ,   69, 1,  1,  1,  3, 44.82
dp   ,   69, 1,  2,  4,  5, 58.38
dp   ,   69, 1,  3,  6,  6, 16.58
dp   ,   70, 1,  1,  1,  3, 44.82
dp   ,   70, 1,  2,  4,  5, 58.33
dp   ,   70, 1,  3,  6,  6, 16.58
dp   ,   71, 1,  1,  1,  3, 44.82
dp   ,   71, 1,  2,  4,  5, 58.29
dp   ,   71, 1,  3,  6,  6, 16.58
dp   ,   72, 1,  1,  1,  3, 44.82
dp   ,   72, 1,  2,  4,  5, 58.24
dp   ,   72, 1,  3,  6,  6, 16.58
dp   ,   73, 1,  1,  1,  3, 44.82
dp   ,   73, 1,  2,  4,  5, 58.20
dp   ,   73, 1,  3,  6,  6, 16.58
dp   ,   74, 1,  1,  1,  3, 44.82
dp   ,   74, 1,  2,  4,  5, 58.15
dp   ,   74, 1,  3,  6,  6, 16.58
dp   ,   75, 1,  1,  1,  3, 44.82
dp   ,   75, 1,  2,  4,  5, 58.11
dp   ,   75, 1,  3,  6,  6, 16.58
dp   ,   76, 1,  1,  1,  3, 44.82
dp   ,   76, 1,  2,  4,  5, 58.06
dp   ,   76, 1,  3,  6,  6, 16.58
dp   ,   77, 1,  1,  1,  3, 44.82
dp   ,   77, 1,  2,  4,  5, 58.02
dp   ,   77, 1,  3,  6,  6, 16.58
dp   ,   78, 1,  1,  1,  3, 44.82
dp   ,   78, 1,  2,  4,  5, 57.98
dp   ,   78, 1,  3,  6,  6, 16.58
dp   ,   79, 1,  1,  1,  3, 44.82
dp   ,   79, 1,  2,  4,  5, 57.93
dp   ,   79, 1,  3,  6,  6, 16.58
dp   ,   80, 1,  1,  1,  3, 44.82
dp   ,   80, 1,  2,  4,  5, 57.89
dp   ,   80, 1,  3,  6,  6, 16.58
dp   ,   81, 1,  1,  1,  3, 44.82
dp   ,   81, 1,  2,  4,  5, 57.85
dp   ,   81, 1,  3,  6,  6, 16.58
dp   ,   82, 1,  1,  1,  3, 44.82
dp   ,   82, 1,  2,  4,  5, 57.81
dp   ,   82, 1,  3,  6,  6, 16.58
dp   ,   83, 1,  1,  1,  3, 44.82
dp   ,   83, 1,  2,  4,  5, 57.76
dp   ,   83, 1,  3,  6,  6, 16.58
dp   ,   84, 1,  1,  1,  3, 44.82
dp   ,   84, 1,  2,  4,  5, 57.72
dp   ,   84, 1,  3,  6,  6, 16.58
dp   ,   85, 1,  1,  1,  3, 44.82
dp   ,   85, 1,  2,  4,  5, 57.68
dp   ,   85, 1,  3,  6,  6, 16.58
dp   ,   86, 1,  1,  1,  3, 44.82
dp   ,   86, 1,  2,  4,  5, 57.64
dp   ,   86, 1,  3,  6,  6, 16.58
dp   ,   87, 1,  1,  1,  3, 44.82
dp   ,   87, 1,  2,  4,  5, 57.60
dp   ,   87, 1,  3,  6,  6, 16.58
