case,i,anode,dest,x,y,ndest,maxdif
    0,    2,    1,    1,200.00,108.78, 43.65, 65.13
    1,    2,    1,    1,200.00,108.16, 43.65, 64.51
    2,    2,    1,    1,200.00,107.55, 43.65, 63.90
    3,    2,    1,    1,200.00,106.95, 43.65, 63.30
    4,    2,    1,    1,200.00,106.35, 43.65, 62.70
    5,    2,    1,    1,200.00,105.77, 43.65, 62.12
    6,    2,    1,    1,200.00,105.19, 43.65, 61.54
    7,    2,    1,    1,200.00,104.62, 43.65, 60.97
    8,    2,    1,    1,200.00,104.06, 43.65, 60.41
    9,    2,    1,    1,200.00,103.50, 43.65, 59.85
   10,    2,    1,    1,200.00,102.95, 43.65, 59.30
   11,    2,    1,    1,200.00,102.41, 43.65, 58.76
   12,    2,    1,    1,200.00,101.88, 43.65, 58.23
   13,    2,    1,    1,200.00,101.35, 43.65, 57.70
   14,    2,    1,    1,200.00,100.83, 43.65, 57.18
   15,    2,    1,    1,200.00,100.31, 43.65, 56.66
   16,    2,    1,    1,200.00, 99.81, 43.65, 56.16
   17,    2,    1,    1,200.00, 99.31, 43.65, 55.66
   18,    2,    1,    1,200.00, 98.81, 43.65, 55.16
   19,    2,    1,    1,200.00, 98.32, 43.65, 54.67
   20,    2,    1,    1,200.00, 97.84, 43.65, 54.19
   21,    2,    1,    1,200.00, 97.36, 43.65, 53.71
   22,    2,    1,    1,200.00, 96.89, 43.65, 53.24
   23,    2,    1,    1,200.00, 96.42, 43.65, 52.77
   24,    2,    1,    1,200.00, 95.96, 43.65, 52.31
   25,    2,    1,    1,200.00, 95.51, 43.65, 51.86
   26,    2,    1,    1,200.00, 95.06, 43.65, 51.41
   27,    2,    1,    1,200.00, 94.62, 43.65, 50.97
   28,    2,    1,    1,200.00, 94.18, 43.65, 50.53
   29,    2,    1,    1,200.00, 93.75, 43.65, 50.10
   30,    2,    1,    1,200.00, 93.32, 43.65, 49.67
   31,    2,    1,    1,200.00, 92.90, 43.65, 49.25
   32,    2,    1,    1,200.00, 92.48, 43.65, 48.83
   33,    2,    1,    1,200.00, 92.06, 43.65, 48.41
   34,    2,    1,    1,200.00, 91.66, 43.65, 48.01
   35,    2,    1,    1,200.00, 91.25, 43.65, 47.60
   36,    2,    1,    1,200.00, 90.85, 43.65, 47.20
   37,    2,    1,    1,200.00, 90.46, 43.65, 46.81
   38,    2,    1,    1,200.00, 90.07, 43.65, 46.42
   39,    2,    1,    1,200.00, 89.68, 43.65, 46.03
   40,    2,    1,    1,200.00, 89.30, 43.65, 45.65
   41,    2,    1,    1,200.00, 88.92, 43.65, 45.27
   42,    2,    1,    1,200.00, 88.55, 43.65, 44.90
   43,    2,    1,    1,200.00, 88.18, 43.65, 44.53
   44,    2,    1,    1,200.00, 87.82, 43.65, 44.17
   45,    2,    1,    1,200.00, 87.46, 43.65, 43.81
   46,    2,    1,    1,200.00, 87.10, 43.65, 43.45
   47,    2,    1,    1,200.00, 86.75, 43.65, 43.10
   48,    2,    1,    1,200.00, 86.40, 43.65, 42.75
   49,    2,    1,    1,200.00, 86.05, 43.65, 42.40
   50,    2,    1,    1,200.00, 85.71, 43.65, 42.06
   51,    2,    1,    1,200.00, 85.37, 43.65, 41.72
   52,    2,    1,    1,200.00, 85.04, 43.65, 41.39
   53,    2,    1,    1,200.00, 84.71, 43.65, 41.06
   54,    2,    1,    1,200.00, 84.38, 43.65, 40.73
   55,    2,    1,    1,200.00, 84.05, 43.65, 40.40
   56,    2,    1,    1,200.00, 83.73, 43.65, 40.08
   57,    2,    1,    1,200.00, 83.42, 43.65, 39.77
   58,    2,    1,    1,200.00, 83.10, 43.65, 39.45
   59,    2,    1,    1,200.00, 82.79, 43.65, 39.14
   60,    2,    1,    1,200.00, 82.48, 43.65, 38.83
   61,    2,    1,    1,200.00, 82.18, 43.65, 38.53
   62,    2,    1,    1,200.00, 81.88, 43.65, 38.23
   63,    2,    1,    1,200.00, 81.58, 43.65, 37.93
   64,    2,    1,    1,200.00, 81.28, 43.65, 37.63
   65,    2,    1,    1,200.00, 80.99, 43.65, 37.34
   66,    2,    1,    1,200.00, 80.70, 43.65, 37.05
   67,    2,    1,    1,200.00, 80.42, 43.65, 36.77
   68,    2,    1,    1,200.00, 80.13, 43.65, 36.48
   69,    2,    1,    1,200.00, 79.85, 43.65, 36.20
   70,    2,    1,    1,200.00, 79.57, 43.65, 35.92
   71,    2,    1,    1,200.00, 79.30, 43.65, 35.65
   71,    5,    2,    1,150.00, 96.11, 60.46, 35.66
   72,    2,    1,    1,200.00, 79.03, 43.65, 35.38
   72,    5,    2,    1,150.00, 96.11, 60.41, 35.71
   73,    2,    1,    1,200.00, 78.76, 43.65, 35.11
   73,    5,    2,    1,150.00, 96.11, 60.36, 35.75
   74,    2,    1,    1,200.00, 78.49, 43.65, 34.84
   74,    5,    2,    1,150.00, 96.11, 60.31, 35.80
   75,    2,    1,    1,200.00, 78.22, 43.65, 34.57
   75,    5,    2,    1,150.00, 96.11, 60.26, 35.85
   76,    2,    1,    1,200.00, 77.96, 43.65, 34.31
   76,    5,    2,    1,150.00, 96.11, 60.21, 35.90
   77,    2,    1,    1,200.00, 77.70, 43.65, 34.05
   77,    5,    2,    1,150.00, 96.11, 60.17, 35.95
   78,    2,    1,    1,200.00, 77.45, 43.65, 33.80
   78,    5,    2,    1,150.00, 96.11, 60.12, 35.99
   79,    2,    1,    1,200.00, 77.19, 43.65, 33.54
   79,    5,    2,    1,150.00, 96.11, 60.07, 36.04
