method,case,dest,link,flow,fx,lt,xprob,logitprob,tail,head
dp   ,   11, 1,  5,    211.75,  22.52, 22.52,1.0000,0.0000,  2,  4
dp   ,   11, 1,  6,    138.25,  16.21, 16.21,1.0000,0.0000,  3,  4
dp   ,   12, 1,  1,      0.00,  41.65, 19.27,0.0000,0.0000,  1,  2
dp   ,   12, 1,  2,    200.00,  40.45, 25.57,1.0000,0.0000,  1,  3
dp   ,   12, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   12, 1,  4,      0.00,1000.00, 16.57,0.0000,0.0000,  2,  3
dp   ,   12, 1,  5,    150.00,  22.38, 22.38,1.0000,0.0000,  2,  4
dp   ,   12, 1,  6,    200.00,  14.88, 14.88,1.0000,0.0000,  3,  4
dp   ,   13, 1,  1,    200.00,  41.12, 19.27,1.0000,0.0000,  1,  2
dp   ,   13, 1,  2,      0.00,  43.93, 25.57,0.0000,0.0000,  1,  3
dp   ,   13, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   13, 1,  4,      0.00,1000.00, 15.14,0.0000,0.0000,  2,  3
dp   ,   13, 1,  5,    350.00,  21.85, 21.85,1.0000,0.0000,  2,  4
dp   ,   13, 1,  6,      0.00,  18.36, 18.36,1.0000,0.0000,  3,  4
dp   ,   14, 1,  1,    200.00,  41.12, 19.27,1.0000,0.0000,  1,  2
dp   ,   14, 1,  2,      0.00,  41.97, 25.57,0.0000,0.0000,  1,  3
dp   ,   14, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   14, 1,  4,      0.00,1000.00, 15.14,0.0000,0.0000,  2,  3
dp   ,   14, 1,  5,    350.00,  21.85, 21.85,1.0000,0.0000,  2,  4
dp   ,   14, 1,  6,      0.00,  16.40, 16.40,1.0000,0.0000,  3,  4
dp   ,   15, 1,  1,      0.00,  40.76, 19.27,0.0000,0.0000,  1,  2
dp   ,   15, 1,  2,    200.00,  40.73, 25.57,1.0000,0.0000,  1,  3
dp   ,   15, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   15, 1,  4,      0.00,1000.00, 15.14,0.0000,0.0000,  2,  3
dp   ,   15, 1,  5,    150.00,  21.48, 21.48,1.0000,0.0000,  2,  4
dp   ,   15, 1,  6,    200.00,  15.15, 15.15,1.0000,0.0000,  3,  4
dp   ,   16, 1,  1,      0.00,  48.61, 12.79,0.0000,0.0000,  1,  2
dp   ,   16, 1,  2,    200.00,  38.05, 19.09,1.0000,0.0000,  1,  3
dp   ,   16, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,   16, 1,  4,      0.00,1000.00, 28.15,0.0000,0.0000,  2,  3
dp   ,   16, 1,  5,    150.00,  35.82, 35.82,1.0000,0.0000,  2,  4
