method,case,dest,node,fout,lout,label
dp   ,   46, 1,  2,  4,  5, 35.82
dp   ,   46, 1,  3,  6,  6, 18.50
dp   ,   47, 1,  1,  1,  3, 40.76
dp   ,   47, 1,  2,  4,  5, 35.82
dp   ,   47, 1,  3,  6,  6, 15.19
dp   ,   48, 1,  1,  1,  3, 39.14
dp   ,   48, 1,  2,  4,  5, 35.82
dp   ,   48, 1,  3,  6,  6, 13.57
dp   ,   49, 1,  1,  1,  3, 43.01
dp   ,   49, 1,  2,  4,  5, 26.86
dp   ,   49, 1,  3,  6,  6, 18.37
dp   ,   50, 1,  1,  1,  3, 41.22
dp   ,   50, 1,  2,  4,  5, 26.86
dp   ,   50, 1,  3,  6,  6, 15.65
dp   ,   51, 1,  1,  1,  3, 39.69
dp   ,   51, 1,  2,  4,  5, 26.86
dp   ,   51, 1,  3,  6,  6, 14.11
dp   ,   52, 1,  1,  1,  3, 42.74
dp   ,   52, 1,  2,  4,  5, 24.16
dp   ,   53, 1,  1,  1,  3, 41.54
dp   ,   53, 1,  2,  4,  5, 23.87
dp   ,   53, 1,  3,  6,  6, 15.97
dp   ,   54, 1,  1,  1,  3, 40.11
dp   ,   54, 1,  2,  4,  5, 23.87
dp   ,   54, 1,  3,  6,  6, 14.54
dp   ,   55, 1,  1,  1,  3, 42.02
dp   ,   55, 1,  2,  4,  5, 22.81
dp   ,   56, 1,  1,  1,  3, 41.79
dp   ,   56, 1,  2,  4,  5, 22.52
dp   ,   56, 1,  3,  6,  6, 16.21
dp   ,   57, 1,  1,  1,  3, 40.45
dp   ,   57, 1,  2,  4,  5, 22.38
dp   ,   57, 1,  3,  6,  6, 14.88
dp   ,   58, 1,  1,  1,  3, 41.12
dp   ,   58, 1,  2,  4,  5, 21.85
dp   ,   59, 1,  1,  1,  3, 41.12
dp   ,   59, 1,  2,  4,  5, 21.85
dp   ,   60, 1,  1,  1,  3, 40.73
dp   ,   60, 1,  2,  4,  5, 21.48
dp   ,   60, 1,  3,  6,  6, 15.15
dp   ,   61, 1,  1,  1,  3, 38.05
dp   ,   61, 1,  2,  4,  5, 35.82
dp   ,   61, 1,  3,  6,  6, 18.97
dp   ,   62, 1,  1,  1,  3, 34.28
dp   ,   62, 1,  2,  4,  5, 35.82
dp   ,   62, 1,  3,  6,  6, 15.19
dp   ,   63, 1,  1,  1,  3, 32.65
dp   ,   63, 1,  2,  4,  5, 35.82
dp   ,   63, 1,  3,  6,  6, 13.57
dp   ,   64, 1,  1,  1,  3, 37.79
dp   ,   64, 1,  2,  4,  5, 26.86
dp   ,   64, 1,  3,  6,  6, 18.70
dp   ,   65, 1,  1,  1,  3, 34.73
dp   ,   65, 1,  2,  4,  5, 26.86
dp   ,   65, 1,  3,  6,  6, 15.65
dp   ,   66, 1,  1,  1,  3, 33.20
dp   ,   66, 1,  2,  4,  5, 26.86
dp   ,   66, 1,  3,  6,  6, 14.11
dp   ,   67, 1,  1,  1,  3, 37.27
dp   ,   67, 1,  2,  4,  5, 24.49
dp   ,   68, 1,  1,  1,  3, 35.06
dp   ,   68, 1,  2,  4,  5, 23.87
dp   ,   68, 1,  3,  6,  6, 15.97
dp   ,   69, 1,  1,  1,  3, 33.63
dp   ,   69, 1,  2,  4,  5, 23.87
dp   ,   69, 1,  3,  6,  6, 14.54
dp   ,   70, 1,  1,  1,  3, 35.63
dp   ,   70, 1,  2,  4,  5, 22.84
dp   ,   71, 1,  1,  1,  3, 35.30
dp   ,   71, 1,  2,  4,  5, 22.52
dp   ,   71, 1,  3,  6,  6, 16.21
dp   ,   72, 1,  1,  1,  3, 33.96
dp   ,   72, 1,  2,  4,  5, 22.38
