case,origin,dest,demand,y,flow
   63, 2,  4,150.0000, 36.3424,150.0000
   64, 1,  4,200.0000, 37.4034,200.0000
   64, 2,  4,150.0000, 26.6461,150.0000
   65, 1,  4,200.0000, 34.2563,200.0000
   65, 2,  4,150.0000, 26.6461,150.0000
   66, 1,  4,200.0000, 32.7320,200.0000
   66, 2,  4,150.0000, 26.6461,150.0000
   67, 1,  4,200.0000, 37.1222,200.0000
   67, 2,  4,150.0000, 24.5636,350.0000
   68, 1,  4,200.0000, 34.5804,200.0000
   68, 2,  4,150.0000, 23.6252,150.0000
   69, 1,  4,200.0000, 33.1668,200.0000
   69, 2,  4,150.0000, 23.6252,150.0000
   70, 1,  4,200.0000, 35.2407,200.0000
   70, 2,  4,150.0000, 22.6821,350.0000
   71, 1,  4,200.0000, 34.8406, 66.0769
   71, 2,  4,150.0000, 22.2820,216.0769
   72, 1,  4,200.0000, 33.5171,200.0000
   72, 2,  4,150.0000, 22.1543,150.0000
   73, 1,  4,200.0000, 34.1808,200.0000
   73, 2,  4,150.0000, 21.6223,350.0000
   74, 1,  4,200.0000, 34.1808,200.0000
   74, 2,  4,150.0000, 21.6223,350.0000
   75, 1,  4,200.0000, 33.8051,200.0000
   75, 2,  4,150.0000, 21.2844,150.0000
   76, 1,  4,200.0000, 35.7348,200.0000
   76, 2,  4,150.0000, 36.3424,150.0000
   77, 1,  4,200.0000, 31.6419,200.0000
   77, 2,  4,150.0000, 36.3424,150.0000
   78, 1,  4,200.0000, 29.9978,200.0000
   78, 2,  4,150.0000, 36.3424,150.0000
   79, 1,  4,200.0000, 35.2237,200.0000
   79, 2,  4,150.0000, 26.6461,150.0000
   80, 1,  4,200.0000, 32.0766,200.0000
   80, 2,  4,150.0000, 26.6461,150.0000
   81, 1,  4,200.0000, 30.5523,200.0000
   81, 2,  4,150.0000, 26.6461,150.0000
   82, 1,  4,200.0000, 34.9425,200.0000
   82, 2,  4,150.0000, 24.5636,350.0000
   83, 1,  4,200.0000, 32.4007,200.0000
   83, 2,  4,150.0000, 23.6252,150.0000
   84, 1,  4,200.0000, 30.9872,200.0000
   84, 2,  4,150.0000, 23.6252,150.0000
   85, 1,  4,200.0000, 33.0610,200.0000
   85, 2,  4,150.0000, 22.6821,350.0000
   86, 1,  4,200.0000, 32.6609, 66.0769
   86, 2,  4,150.0000, 22.2820,216.0769
   87, 1,  4,200.0000, 31.3374,200.0000
   87, 2,  4,150.0000, 22.1543,150.0000
   88, 1,  4,200.0000, 32.0011,200.0000
   88, 2,  4,150.0000, 21.6223,350.0000
   89, 1,  4,200.0000, 32.0011,200.0000
   89, 2,  4,150.0000, 21.6223,350.0000
   90, 1,  4,200.0000, 38.4549,200.0000
   90, 2,  4,150.0000, 36.3424,150.0000
   91, 1,  4,200.0000, 38.4549,200.0000
   91, 2,  4,150.0000, 36.3424,150.0000
   92, 1,  4,200.0000, 37.7816, 85.1986
   92, 2,  4,150.0000, 36.3424,150.0000
   93, 1,  4,200.0000, 38.4549,200.0000
   93, 2,  4,150.0000, 26.6461,150.0000
   94, 1,  4,200.0000, 38.4549,200.0000
   94, 2,  4,150.0000, 26.6461,150.0000
   95, 1,  4,200.0000, 38.0965, 39.0688
   95, 2,  4,150.0000, 26.6461,150.0000
   96, 1,  4,200.0000, 38.4549,200.0000
   96, 2,  4,150.0000, 23.6252,150.0000
   97, 1,  4,200.0000, 38.4549,200.0000
   97, 2,  4,150.0000, 23.6252,150.0000
   98, 1,  4,200.0000, 38.4549,200.0000
   98, 2,  4,150.0000, 23.6252,150.0000
   99, 1,  4,200.0000, 38.4549,200.0000
   99, 2,  4,150.0000, 22.1543,150.0000
  100, 1,  4,200.0000, 38.4549,200.0000
  100, 2,  4,150.0000, 22.1543,150.0000
  101, 1,  4,200.0000, 38.4549,200.0000
  101, 2,  4,150.0000, 22.1543,150.0000
  102, 1,  4,200.0000, 38.4549,200.0000
  102, 2,  4,150.0000, 21.2844,150.0000
  103, 1,  4,200.0000, 38.4549,200.0000
  103, 2,  4,150.0000, 21.2844,150.0000
  104, 1,  4,200.0000, 38.4549,200.0000
  104, 2,  4,150.0000, 21.2844,150.0000
  105, 1,  4,200.0000, 37.4965,158.4359
  105, 2,  4,150.0000, 36.3424,150.0000
  106, 1,  4,200.0000, 33.8216,200.0000
  106, 2,  4,150.0000, 36.3424,150.0000
  107, 1,  4,200.0000, 32.1775,200.0000
  107, 2,  4,150.0000, 36.3424,150.0000
  108, 1,  4,200.0000, 37.4034,200.0000
  108, 2,  4,150.0000, 26.6461,150.0000
  109, 1,  4,200.0000, 34.2563,200.0000
  109, 2,  4,150.0000, 26.6461,150.0000
  110, 1,  4,200.0000, 32.7320,200.0000
  110, 2,  4,150.0000, 26.6461,150.0000
  111, 1,  4,200.0000, 37.1222,200.0000
  111, 2,  4,150.0000, 24.5636,350.0000
  112, 1,  4,200.0000, 34.5804,200.0000
  112, 2,  4,150.0000, 23.6252,150.0000
  113, 1,  4,200.0000, 33.1668,200.0000
  113, 2,  4,150.0000, 23.6252,150.0000
  114, 1,  4,200.0000, 35.2407,200.0000
  114, 2,  4,150.0000, 22.6821,350.0000
  115, 1,  4,200.0000, 34.8406, 66.0769
  115, 2,  4,150.0000, 22.2820,216.0769
  116, 1,  4,200.0000, 33.5171,200.0000
  116, 2,  4,150.0000, 22.1543,150.0000
  117, 1,  4,200.0000, 34.1808,200.0000
  117, 2,  4,150.0000, 21.6223,350.0000
  118, 1,  4,200.0000, 34.1808,200.0000
  118, 2,  4,150.0000, 21.6223,350.0000
  119, 1,  4,200.0000, 35.7348,200.0000
  119, 2,  4,150.0000, 36.3424,150.0000
  120, 1,  4,200.0000, 31.6419,200.0000
  120, 2,  4,150.0000, 36.3424,150.0000
  121, 1,  4,200.0000, 29.9978,200.0000
  121, 2,  4,150.0000, 36.3424,150.0000
  122, 1,  4,200.0000, 35.2237,200.0000
  122, 2,  4,150.0000, 26.6461,150.0000
  123, 1,  4,200.0000, 32.0766,200.0000
  123, 2,  4,150.0000, 26.6461,150.0000
  124, 1,  4,200.0000, 30.5523,200.0000
  124, 2,  4,150.0000, 26.6461,150.0000
  125, 1,  4,200.0000, 34.9425,200.0000
  125, 2,  4,150.0000, 24.5636,350.0000
  126, 1,  4,200.0000, 32.4007,200.0000
  126, 2,  4,150.0000, 23.6252,150.0000
  127, 1,  4,200.0000, 30.9872,200.0000
  127, 2,  4,150.0000, 23.6252,150.0000
  128, 1,  4,200.0000, 33.0610,200.0000
  128, 2,  4,150.0000, 22.6821,350.0000
  129, 1,  4,200.0000, 32.6609, 66.0769
  129, 2,  4,150.0000, 22.2820,216.0769
  130, 1,  4,200.0000, 32.0011,200.0000
  130, 2,  4,150.0000, 21.6223,350.0000
  131, 1,  4,200.0000, 35.7802,200.0000
  131, 2,  4,150.0000, 36.3424,150.0000
  132, 1,  4,200.0000, 35.7802,200.0000
  132, 2,  4,150.0000, 36.3424,150.0000
  133, 1,  4,200.0000, 35.7802,200.0000
  133, 2,  4,150.0000, 36.3424,150.0000
  134, 1,  4,200.0000, 35.7802,200.0000
  134, 2,  4,150.0000, 26.6461,150.0000
  135, 1,  4,200.0000, 35.7802,200.0000
  135, 2,  4,150.0000, 26.6461,150.0000
  136, 1,  4,200.0000, 35.7802,200.0000
  136, 2,  4,150.0000, 26.6461,150.0000
  137, 1,  4,200.0000, 35.7802,200.0000
  137, 2,  4,150.0000, 23.6252,150.0000
  138, 1,  4,200.0000, 35.7802,200.0000
  138, 2,  4,150.0000, 23.6252,150.0000
  139, 1,  4,200.0000, 35.7802,200.0000
  139, 2,  4,150.0000, 23.6252,150.0000
  140, 1,  4,200.0000, 35.7802,200.0000
  140, 2,  4,150.0000, 22.1543,150.0000
  141, 1,  4,200.0000, 35.7802,200.0000
  141, 2,  4,150.0000, 22.1543,150.0000
  142, 1,  4,200.0000, 35.7802,200.0000
  142, 2,  4,150.0000, 22.1543,150.0000
  143, 1,  4,200.0000, 35.7802,200.0000
  143, 2,  4,150.0000, 21.2844,150.0000
  144, 1,  4,200.0000, 35.7802,200.0000
  144, 2,  4,150.0000, 21.2844,150.0000
  145, 1,  4,200.0000, 35.7802,200.0000
  145, 2,  4,150.0000, 36.3424,150.0000
  146, 1,  4,200.0000, 33.8216,200.0000
  146, 2,  4,150.0000, 36.3424,150.0000
  147, 1,  4,200.0000, 32.1775,200.0000
  147, 2,  4,150.0000, 36.3424,150.0000
  148, 1,  4,200.0000, 35.7802,200.0000
  148, 2,  4,150.0000, 26.6461,150.0000
  149, 1,  4,200.0000, 34.2563,200.0000
  149, 2,  4,150.0000, 26.6461,150.0000
  150, 1,  4,200.0000, 32.7320,200.0000
  150, 2,  4,150.0000, 26.6461,150.0000
  151, 1,  4,200.0000, 35.7720,  3.1255
  151, 2,  4,150.0000, 23.6341,153.1255
  152, 1,  4,200.0000, 34.5804,200.0000
  152, 2,  4,150.0000, 23.6252,150.0000
  153, 1,  4,200.0000, 33.1668,200.0000
  153, 2,  4,150.0000, 23.6252,150.0000
  154, 1,  4,200.0000, 35.2262,198.1607
  154, 2,  4,150.0000, 22.6754,348.1607
  155, 1,  4,200.0000, 34.8406, 66.0769
  155, 2,  4,150.0000, 22.2820,216.0769
  156, 1,  4,200.0000, 34.1808,200.0000
  156, 2,  4,150.0000, 21.6223,350.0000
  157, 1,  4,200.0000, 35.2800,141.0582
  157, 2,  4,150.0000, 36.3424,150.0000
  158, 1,  4,200.0000, 31.6419,200.0000
  158, 2,  4,150.0000, 36.3424,150.0000
  159, 1,  4,200.0000, 29.9978,200.0000
  159, 2,  4,150.0000, 36.3424,150.0000
  160, 1,  4,200.0000, 35.2229,199.8664
  160, 2,  4,150.0000, 26.6461,150.0000
  161, 1,  4,200.0000, 32.0766,200.0000
  161, 2,  4,150.0000, 26.6461,150.0000
  162, 1,  4,200.0000, 30.5523,200.0000
  162, 2,  4,150.0000, 26.6461,150.0000
  163, 1,  4,200.0000, 34.9425,200.0000
  163, 2,  4,150.0000, 24.5636,350.0000
  164, 1,  4,200.0000, 32.4007,200.0000
  164, 2,  4,150.0000, 23.6252,150.0000
  165, 1,  4,200.0000, 33.0610,200.0000
  165, 2,  4,150.0000, 22.6821,350.0000
  166, 1,  4,200.0000, 34.2349,200.0000
  166, 2,  4,150.0000, 36.3424,150.0000
  167, 1,  4,200.0000, 34.2349,200.0000
  167, 2,  4,150.0000, 36.3424,150.0000
  168, 1,  4,200.0000, 34.2349,200.0000
  168, 2,  4,150.0000, 36.3424,150.0000
  169, 1,  4,200.0000, 34.2349,200.0000
  169, 2,  4,150.0000, 26.6461,150.0000
  170, 1,  4,200.0000, 34.2349,200.0000
  170, 2,  4,150.0000, 26.6461,150.0000
  171, 1,  4,200.0000, 34.2349,200.0000
  171, 2,  4,150.0000, 26.6461,150.0000
  172, 1,  4,200.0000, 34.2349,200.0000
  172, 2,  4,150.0000, 23.6252,150.0000
  173, 1,  4,200.0000, 34.2349,200.0000
  173, 2,  4,150.0000, 23.6252,150.0000
  174, 1,  4,200.0000, 34.2349,200.0000
  174, 2,  4,150.0000, 23.6252,150.0000
  175, 1,  4,200.0000, 34.2349,200.0000
  175, 2,  4,150.0000, 22.1543,150.0000
  176, 1,  4,200.0000, 34.2349,200.0000
  176, 2,  4,150.0000, 22.1543,150.0000
  177, 1,  4,200.0000, 34.2349,200.0000
  177, 2,  4,150.0000, 21.2844,150.0000
  178, 1,  4,200.0000, 34.2349,200.0000
  178, 2,  4,150.0000, 36.3424,150.0000
  179, 1,  4,200.0000, 33.8216,200.0000
  179, 2,  4,150.0000, 36.3424,150.0000
  180, 1,  4,200.0000, 32.1775,200.0000
  180, 2,  4,150.0000, 36.3424,150.0000
  181, 1,  4,200.0000, 34.2349,200.0000
  181, 2,  4,150.0000, 26.6461,150.0000
  182, 1,  4,200.0000, 33.9258,134.3127
  182, 2,  4,150.0000, 26.6461,150.0000
  183, 1,  4,200.0000, 32.7320,200.0000
  183, 2,  4,150.0000, 26.6461,150.0000
  184, 1,  4,200.0000, 34.2349,200.0000
  184, 2,  4,150.0000, 23.6252,150.0000
  185, 1,  4,200.0000, 34.0612, 60.4398
  185, 2,  4,150.0000, 23.6252,150.0000
  186, 1,  4,200.0000, 34.2349,200.0000
  186, 2,  4,150.0000, 22.1543,150.0000
  187, 1,  4,200.0000, 34.2349,200.0000
  187, 2,  4,150.0000, 36.3424,150.0000
  188, 1,  4,200.0000, 31.6419,200.0000
  188, 2,  4,150.0000, 36.3424,150.0000
  189, 1,  4,200.0000, 29.9978,200.0000
  189, 2,  4,150.0000, 36.3424,150.0000
  190, 1,  4,200.0000, 34.2349,200.0000
  190, 2,  4,150.0000, 26.6461,150.0000
  191, 1,  4,200.0000, 32.0766,200.0000
  191, 2,  4,150.0000, 26.6461,150.0000
  192, 1,  4,200.0000, 34.0532, 63.6567
  192, 2,  4,150.0000, 23.8424,213.6567
  193, 1,  4,200.0000, 33.2295,200.0000
  193, 2,  4,150.0000, 36.3424,150.0000
  194, 1,  4,200.0000, 33.2295,200.0000
  194, 2,  4,150.0000, 36.3424,150.0000
  195, 1,  4,200.0000, 33.2295,200.0000
  195, 2,  4,150.0000, 36.3424,150.0000
  196, 1,  4,200.0000, 33.2295,200.0000
  196, 2,  4,150.0000, 26.6461,150.0000
  197, 1,  4,200.0000, 33.2295,200.0000
  197, 2,  4,150.0000, 26.6461,150.0000
  198, 1,  4,200.0000, 33.2295,200.0000
  198, 2,  4,150.0000, 26.6461,150.0000
  199, 1,  4,200.0000, 33.2295,200.0000
  199, 2,  4,150.0000, 23.6252,150.0000
  200, 1,  4,200.0000, 33.2295,200.0000
  200, 2,  4,150.0000, 23.6252,150.0000
  201, 1,  4,200.0000, 33.2295,200.0000
  201, 2,  4,150.0000, 22.1543,150.0000
  202, 1,  4,200.0000, 33.2295,200.0000
  202, 2,  4,150.0000, 36.3424,150.0000
  203, 1,  4,200.0000, 33.1355, 47.0090
  203, 2,  4,150.0000, 36.3424,150.0000
  204, 1,  4,200.0000, 32.1775,200.0000
  204, 2,  4,150.0000, 36.3424,150.0000
  205, 1,  4,200.0000, 33.2295,200.0000
  205, 2,  4,150.0000, 26.6461,150.0000
  206, 1,  4,200.0000, 33.2295,200.0000
  206, 2,  4,150.0000, 26.6461,150.0000
  207, 1,  4,200.0000, 33.2295,200.0000
  207, 2,  4,150.0000, 23.6252,150.0000
  208, 1,  4,200.0000, 33.2295,200.0000
  208, 2,  4,150.0000, 36.3424,150.0000
  209, 1,  4,200.0000, 31.6419,200.0000
  209, 2,  4,150.0000, 36.3424,150.0000
  210, 1,  4,200.0000, 33.2295,200.0000
  210, 2,  4,150.0000, 26.6461,150.0000
  211, 1,  4,200.0000, 32.5235,200.0000
  211, 2,  4,150.0000, 36.3424,150.0000
  212, 1,  4,200.0000, 32.5235,200.0000
  212, 2,  4,150.0000, 36.3424,150.0000
  213, 1,  4,200.0000, 32.5235,200.0000
  213, 2,  4,150.0000, 36.3424,150.0000
  214, 1,  4,200.0000, 32.5235,200.0000
  214, 2,  4,150.0000, 26.6461,150.0000
  215, 1,  4,200.0000, 32.5235,200.0000
  215, 2,  4,150.0000, 26.6461,150.0000
  216, 1,  4,200.0000, 32.5235,200.0000
  216, 2,  4,150.0000, 23.6252,150.0000
  217, 1,  4,200.0000, 32.5235,200.0000
  217, 2,  4,150.0000, 36.3424,150.0000
  218, 1,  4,200.0000, 32.5235,200.0000
  218, 2,  4,150.0000, 36.3424,150.0000
  219, 1,  4,200.0000, 32.5235,200.0000
  219, 2,  4,150.0000, 26.6461,150.0000
  220, 1,  4,200.0000, 32.5235,200.0000
  220, 2,  4,150.0000, 36.3424,150.0000
