 SeedNum,Iter,LineId,Fleet,TTC,Fare
   1,     3,   2,   5,   3,     275941.15,     -0.05
   1,     3,   2,   6,   1,     275941.15,     -0.05
   1,     3,   2,   7,   2,     275941.15,     -0.05
   1,     3,   2,   8,   5,     275941.15,     -0.05
   1,     3,   2,   9,   2,     275941.15,     -0.05
   1,     3,   2,  10,   4,     275941.15,     -0.05
   1,     3,   2,  11,   2,     275941.15,     -0.05
   1,     3,   2,  12,   3,     275941.15,     -0.05
   1,     3,   2,  13,   6,     275941.15,     -0.05
   1,     3,   2,  14,   3,     275941.15,     -0.05
   1,     3,   2,  15,   2,     275941.15,     -0.05
   1,     3,   2,  16,   2,     275941.15,     -0.05
   1,     3,   2,  17,   3,     275941.15,     -0.05
   1,     3,   2,  18,   3,     275941.15,     -0.05
   1,     3,   2,  19,   3,     275941.15,     -0.05
   1,     3,   2,  20,   1,     275941.15,     -0.05
   1,     4,   1,   1,   2,     331469.44,      0.00
   1,     4,   1,   2,   3,     331469.44,      0.00
   1,     4,   1,   3,   4,     331469.44,      0.00
   1,     4,   1,   4,   2,     331469.44,      0.00
   1,     4,   1,   5,   3,     331469.44,      0.00
   1,     4,   1,   6,   1,     331469.44,      0.00
   1,     4,   1,   7,   2,     331469.44,      0.00
   1,     4,   1,   8,   5,     331469.44,      0.00
   1,     4,   1,   9,   3,     331469.44,      0.00
   1,     4,   1,  10,   4,     331469.44,      0.00
   1,     4,   1,  11,   2,     331469.44,      0.00
   1,     4,   1,  12,   2,     331469.44,      0.00
   1,     4,   1,  13,   7,     331469.44,      0.00
   1,     4,   1,  14,   3,     331469.44,      0.00
   1,     4,   1,  15,   2,     331469.44,      0.00
   1,     4,   1,  16,   2,     331469.44,      0.00
   1,     4,   1,  17,   2,     331469.44,      0.00
   1,     4,   1,  18,   3,     331469.44,      0.00
   1,     4,   1,  19,   3,     331469.44,      0.00
   1,     4,   1,  20,   1,     331469.44,      0.00
   1,     4,   2,   1,   2,     275941.15,     -0.05
   1,     4,   2,   2,   3,     275941.15,     -0.05
   1,     4,   2,   3,   4,     275941.15,     -0.05
   1,     4,   2,   4,   2,     275941.15,     -0.05
   1,     4,   2,   5,   3,     275941.15,     -0.05
   1,     4,   2,   6,   1,     275941.15,     -0.05
   1,     4,   2,   7,   2,     275941.15,     -0.05
   1,     4,   2,   8,   5,     275941.15,     -0.05
   1,     4,   2,   9,   2,     275941.15,     -0.05
   1,     4,   2,  10,   4,     275941.15,     -0.05
   1,     4,   2,  11,   2,     275941.15,     -0.05
   1,     4,   2,  12,   3,     275941.15,     -0.05
   1,     4,   2,  13,   6,     275941.15,     -0.05
   1,     4,   2,  14,   3,     275941.15,     -0.05
   1,     4,   2,  15,   2,     275941.15,     -0.05
   1,     4,   2,  16,   2,     275941.15,     -0.05
   1,     4,   2,  17,   3,     275941.15,     -0.05
   1,     4,   2,  18,   3,     275941.15,     -0.05
   1,     4,   2,  19,   2,     275941.15,     -0.05
   1,     4,   2,  20,   1,     275941.15,     -0.05
   1,     5,   1,   1,   2,     331469.44,      0.00
   1,     5,   1,   2,   3,     331469.44,      0.00
   1,     5,   1,   3,   4,     331469.44,      0.00
   1,     5,   1,   4,   2,     331469.44,      0.00
   1,     5,   1,   5,   3,     331469.44,      0.00
   1,     5,   1,   6,   1,     331469.44,      0.00
   1,     5,   1,   7,   2,     331469.44,      0.00
   1,     5,   1,   8,   5,     331469.44,      0.00
   1,     5,   1,   9,   3,     331469.44,      0.00
   1,     5,   1,  10,   4,     331469.44,      0.00
   1,     5,   1,  11,   2,     331469.44,      0.00
   1,     5,   1,  12,   2,     331469.44,      0.00
   1,     5,   1,  13,   7,     331469.44,      0.00
   1,     5,   1,  14,   3,     331469.44,      0.00
   1,     5,   1,  15,   2,     331469.44,      0.00
   1,     5,   1,  16,   2,     331469.44,      0.00
   1,     5,   1,  17,   2,     331469.44,      0.00
   1,     5,   1,  18,   3,     331469.44,      0.00
   1,     5,   1,  19,   3,     331469.44,      0.00
   1,     5,   1,  20,   1,     331469.44,      0.00
   1,     5,   2,   1,   2,     275941.15,     -0.05
   1,     5,   2,   2,   3,     275941.15,     -0.05
   1,     5,   2,   3,   4,     275941.15,     -0.05
   1,     5,   2,   4,   2,     275941.15,     -0.05
   1,     5,   2,   5,   3,     275941.15,     -0.05
   1,     5,   2,   6,   1,     275941.15,     -0.05
   1,     5,   2,   7,   2,     275941.15,     -0.05
   1,     5,   2,   8,   5,     275941.15,     -0.05
   1,     5,   2,   9,   2,     275941.15,     -0.05
   1,     5,   2,  10,   4,     275941.15,     -0.05
   1,     5,   2,  11,   2,     275941.15,     -0.05
   1,     5,   2,  12,   3,     275941.15,     -0.05
   1,     5,   2,  13,   6,     275941.15,     -0.05
   1,     5,   2,  14,   3,     275941.15,     -0.05
   1,     5,   2,  15,   2,     275941.15,     -0.05
   1,     5,   2,  16,   2,     275941.15,     -0.05
   1,     5,   2,  17,   3,     275941.15,     -0.05
   1,     5,   2,  18,   3,     275941.15,     -0.05
   1,     5,   2,  19,   2,     275941.15,     -0.05
   1,     5,   2,  20,   1,     275941.15,     -0.05
