method,case,dest,node,fout,lout,label
dp   ,   46, 1,  2,  4,  5, 36.34
dp   ,   46, 1,  3,  6,  6, 18.36
dp   ,   47, 1,  1,  1,  3, 40.92
dp   ,   47, 1,  2,  4,  5, 36.34
dp   ,   47, 1,  3,  6,  6, 14.96
dp   ,   48, 1,  1,  1,  3, 39.28
dp   ,   48, 1,  2,  4,  5, 36.34
dp   ,   48, 1,  3,  6,  6, 13.32
dp   ,   49, 1,  1,  1,  3, 42.73
dp   ,   49, 1,  2,  4,  5, 26.65
dp   ,   49, 1,  3,  6,  6, 18.17
dp   ,   50, 1,  1,  1,  3, 41.36
dp   ,   50, 1,  2,  4,  5, 26.65
dp   ,   50, 1,  3,  6,  6, 15.40
dp   ,   51, 1,  1,  1,  3, 39.83
dp   ,   51, 1,  2,  4,  5, 26.65
dp   ,   51, 1,  3,  6,  6, 13.87
dp   ,   52, 1,  1,  1,  3, 42.45
dp   ,   52, 1,  2,  4,  5, 24.02
dp   ,   53, 1,  1,  1,  3, 41.68
dp   ,   53, 1,  2,  4,  5, 23.63
dp   ,   53, 1,  3,  6,  6, 15.72
dp   ,   54, 1,  1,  1,  3, 40.27
dp   ,   54, 1,  2,  4,  5, 23.63
dp   ,   54, 1,  3,  6,  6, 14.31
dp   ,   55, 1,  1,  1,  3, 41.96
dp   ,   55, 1,  2,  4,  5, 22.61
dp   ,   56, 1,  1,  1,  3, 41.93
dp   ,   56, 1,  2,  4,  5, 22.28
dp   ,   56, 1,  3,  6,  6, 15.97
dp   ,   57, 1,  1,  1,  3, 40.62
dp   ,   57, 1,  2,  4,  5, 22.15
dp   ,   57, 1,  3,  6,  6, 14.66
dp   ,   58, 1,  1,  1,  3, 41.28
dp   ,   58, 1,  2,  4,  5, 21.62
dp   ,   59, 1,  1,  1,  3, 41.28
dp   ,   59, 1,  2,  4,  5, 21.62
dp   ,   60, 1,  1,  1,  3, 40.91
dp   ,   60, 1,  2,  4,  5, 21.28
dp   ,   60, 1,  3,  6,  6, 14.95
dp   ,   61, 1,  1,  1,  3, 37.91
dp   ,   61, 1,  2,  4,  5, 36.34
dp   ,   61, 1,  3,  6,  6, 19.06
dp   ,   62, 1,  1,  1,  3, 33.82
dp   ,   62, 1,  2,  4,  5, 36.34
dp   ,   62, 1,  3,  6,  6, 14.96
dp   ,   63, 1,  1,  1,  3, 32.18
dp   ,   63, 1,  2,  4,  5, 36.34
dp   ,   63, 1,  3,  6,  6, 13.32
dp   ,   64, 1,  1,  1,  3, 37.40
dp   ,   64, 1,  2,  4,  5, 26.65
dp   ,   64, 1,  3,  6,  6, 18.54
dp   ,   65, 1,  1,  1,  3, 34.26
dp   ,   65, 1,  2,  4,  5, 26.65
dp   ,   65, 1,  3,  6,  6, 15.40
dp   ,   66, 1,  1,  1,  3, 32.73
dp   ,   66, 1,  2,  4,  5, 26.65
dp   ,   66, 1,  3,  6,  6, 13.87
dp   ,   67, 1,  1,  1,  3, 37.12
dp   ,   67, 1,  2,  4,  5, 24.56
dp   ,   68, 1,  1,  1,  3, 34.58
dp   ,   68, 1,  2,  4,  5, 23.63
dp   ,   68, 1,  3,  6,  6, 15.72
dp   ,   69, 1,  1,  1,  3, 33.17
dp   ,   69, 1,  2,  4,  5, 23.63
dp   ,   69, 1,  3,  6,  6, 14.31
dp   ,   70, 1,  1,  1,  3, 35.24
dp   ,   70, 1,  2,  4,  5, 22.68
dp   ,   71, 1,  1,  1,  3, 34.83
dp   ,   71, 1,  2,  4,  5, 22.28
dp   ,   71, 1,  3,  6,  6, 15.97
dp   ,   72, 1,  1,  1,  3, 33.52
dp   ,   72, 1,  2,  4,  5, 22.15
dp   ,   72, 1,  3,  6,  6, 14.66
dp   ,   73, 1,  1,  1,  3, 34.18
dp   ,   73, 1,  2,  4,  5, 21.62
dp   ,   74, 1,  1,  1,  3, 34.18
dp   ,   74, 1,  2,  4,  5, 21.62
dp   ,   75, 1,  1,  1,  3, 33.81
dp   ,   75, 1,  2,  4,  5, 21.28
dp   ,   75, 1,  3,  6,  6, 14.95
dp   ,   76, 1,  1,  1,  3, 35.73
dp   ,   76, 1,  2,  4,  5, 36.34
dp   ,   76, 1,  3,  6,  6, 19.06
dp   ,   77, 1,  1,  1,  3, 31.64
dp   ,   77, 1,  2,  4,  5, 36.34
dp   ,   77, 1,  3,  6,  6, 14.96
dp   ,   78, 1,  1,  1,  3, 30.00
dp   ,   78, 1,  2,  4,  5, 36.34
dp   ,   78, 1,  3,  6,  6, 13.32
dp   ,   79, 1,  1,  1,  3, 35.22
dp   ,   79, 1,  2,  4,  5, 26.65
dp   ,   79, 1,  3,  6,  6, 18.54
dp   ,   80, 1,  1,  1,  3, 32.08
dp   ,   80, 1,  2,  4,  5, 26.65
dp   ,   80, 1,  3,  6,  6, 15.40
dp   ,   81, 1,  1,  1,  3, 30.55
dp   ,   81, 1,  2,  4,  5, 26.65
dp   ,   81, 1,  3,  6,  6, 13.87
dp   ,   82, 1,  1,  1,  3, 34.94
dp   ,   82, 1,  2,  4,  5, 24.56
dp   ,   83, 1,  1,  1,  3, 32.40
dp   ,   83, 1,  2,  4,  5, 23.63
dp   ,   83, 1,  3,  6,  6, 15.72
dp   ,   84, 1,  1,  1,  3, 30.99
dp   ,   84, 1,  2,  4,  5, 23.63
dp   ,   84, 1,  3,  6,  6, 14.31
dp   ,   85, 1,  1,  1,  3, 33.06
dp   ,   85, 1,  2,  4,  5, 22.68
dp   ,   86, 1,  1,  1,  3, 32.65
dp   ,   86, 1,  2,  4,  5, 22.28
dp   ,   86, 1,  3,  6,  6, 15.97
dp   ,   87, 1,  1,  1,  3, 31.34
dp   ,   87, 1,  2,  4,  5, 22.15
dp   ,   87, 1,  3,  6,  6, 14.66
dp   ,   88, 1,  1,  1,  3, 32.00
dp   ,   88, 1,  2,  4,  5, 21.62
dp   ,   89, 1,  1,  1,  3, 32.00
dp   ,   89, 1,  2,  4,  5, 21.62
dp   ,   90, 1,  1,  1,  3, 38.45
dp   ,   90, 1,  2,  4,  5, 36.34
dp   ,   91, 1,  1,  1,  3, 38.45
dp   ,   91, 1,  2,  4,  5, 36.34
dp   ,   92, 1,  1,  1,  3, 37.78
dp   ,   92, 1,  2,  4,  5, 36.34
