   6.000,   5.000,   6.000,  15.000
   4.153,   5.139,   7.254,   7.160
   4.153,   5.139,   7.254,  14.321
   4.153,   5.139,  10.881,   7.160
   4.153,   5.139,  10.881,  14.321
   4.153,   5.139,  14.508,   7.160
   4.153,   5.139,  14.508,  14.321
   4.153,  10.278,   7.254,   7.160
   4.153,  10.278,   7.254,  14.321
   4.153,  10.278,  10.881,   7.160
   4.153,  10.278,  10.881,  14.321
   4.153,  10.278,  14.508,   7.160
   4.153,  10.278,  14.508,  14.321
   6.229,   5.139,   7.254,   7.160
   6.229,   5.139,   7.254,  14.321
   6.229,   5.139,  10.881,   7.160
   6.229,   5.139,  10.881,  14.321
   6.229,   5.139,  14.508,   7.160
   6.229,   5.139,  14.508,  14.321
   6.229,  10.278,   7.254,   7.160
   6.229,  10.278,   7.254,  14.321
   6.229,  10.278,  10.881,   7.160
   6.229,  10.278,  10.881,  14.321
   6.229,  10.278,  14.508,   7.160
   8.305,   5.139,   7.254,   7.160
   8.305,   5.139,   7.254,  14.321
   8.305,   5.139,  10.881,   7.160
   8.305,   5.139,  10.881,  14.321
   8.305,   5.139,  14.508,   7.160
   8.305,  10.278,   7.254,   7.160
   8.305,  10.278,   7.254,  14.321
   8.305,  10.278,  10.881,   7.160
  10.382,   5.139,   7.254,   7.160
  10.382,   5.139,   7.254,  14.321
  10.382,   5.139,  10.881,   7.160
  10.382,  10.278,   7.254,   7.160
  12.458,   5.139,   7.254,   7.160
